,address,link,beds,baths,sqft,price
0,"400 Halls Hill Road, Alton, NH 03809",https://www.zillow.com/homedetails/400-Halls-Hill-Rd-Alton-NH-03809/86715263_zpid/,1,0,720,150000
1,"92 Pine Street, Laconia, NH 03246",https://www.zillow.com/homedetails/92-Pine-St-Laconia-NH-03246/2143464326_zpid/,0,0,3000,199900
2,"25 First Street, Belmont, NH 03220",https://www.zillow.com/homedetails/25-1st-St-Belmont-NH-03220/86700843_zpid/,2,1,676,274999
3,"15 Brian Ln #A, Laconia, NH 03246",https://www.zillow.com/homedetails/15-Brian-Ln-A-Laconia-NH-03246/86711535_zpid/,2,2,1000,279900
4,"62 Town House Road, New Hampton, NH 03256",https://www.zillow.com/homedetails/62-Town-House-Rd-New-Hampton-NH-03256/126556078_zpid/,3,1,1630,279900
5,"27 High Street, Laconia, NH 03246",https://www.zillow.com/homedetails/27-High-St-Laconia-NH-03246/86712967_zpid/,4,2,2248,325000
6,"9 Glendale Place, Gilford, NH 03249",https://www.zillow.com/homedetails/9-Glendale-Pl-Gilford-NH-03249/92812484_zpid/,3,1,1788,325000
7,"752 Laconia Road, Belmont, NH 03320",https://www.zillow.com/homedetails/752-Laconia-Rd-Belmont-NH-03220/86707085_zpid/,3,1,988,350000
8,"366 Depot Street, Belmont, NH 03220",https://www.zillow.com/homedetails/366-Depot-St-Belmont-NH-03220/86707147_zpid/,3,2,1084,354900
